,path,sentence,language
0,common_voice_ja_25861512.mp3,こつんこつんって、どっかから音がすんの。,2
1,common_voice_ja_25861545.mp3,別の話を持ちかけられた。,2
2,common_voice_ja_25861546.mp3,おいおい。,2
3,common_voice_ja_25861565.mp3,待ってろよ、馬鹿ども。,2
4,common_voice_ja_25861566.mp3,ピーナッツとイチゴジャム、どっちがいい？,2
5,common_voice_ja_25861568.mp3,検索するだけで環境に貢献できるんです,2
6,common_voice_ja_25861593.mp3,新品ですと宣伝された格安のカーディガン,2
7,common_voice_ja_25861594.mp3,当番を決めて終わりです。,2
8,common_voice_ja_25861595.mp3,そんなにおなか出してると冷えてこわすよ,2
9,common_voice_ja_25861596.mp3,風邪薬で駄目なら医者に行きなよ。,2
10,common_voice_ja_25861656.mp3,マッサージされてるのを見るだけで気持ちよくなる,2
11,common_voice_ja_25861659.mp3,手前のドアから、誰かが出てきた。,2
12,common_voice_ja_25861739.mp3,心配すんな。,2
13,common_voice_ja_25861740.mp3,優しくされるのが怖くて、わたしは逃げた。,2
14,common_voice_ja_25861743.mp3,やがて静かになった。,2
15,common_voice_ja_25861759.mp3,俺にもこんな特別な才能あったらなあ,2
16,common_voice_ja_25861760.mp3,立ち食いそばでカンタンにすませる,2
17,common_voice_ja_25861763.mp3,すっげー！,2
18,common_voice_ja_25862023.mp3,アンテナの調子でも悪いのかな,2
19,common_voice_ja_25863010.mp3,超展開すぎるだろ、この映画,2
20,common_voice_ja_25863011.mp3,みんながやればすぐに解決するんだが,2
21,common_voice_ja_25863014.mp3,母に言うべきことなのだろうか。,2
22,common_voice_ja_25863082.mp3,辛うじて一部残っていた。,2
23,common_voice_ja_25863086.mp3,誰が通報したんだ。,2
24,common_voice_ja_25863242.mp3,雨が好きなので悪い天気とは思わない,2
25,common_voice_ja_25863245.mp3,なんだよ、ホントに。,2
26,common_voice_ja_25863249.mp3,テレビに高機能は求めてない,2
27,common_voice_ja_25863267.mp3,さっぱりしたか？,2
28,common_voice_ja_25863269.mp3,グリンピース買ってきて、冷凍のやつね。,2
29,common_voice_ja_25863270.mp3,まるで地元のように迷いなく進んでいった,2
30,common_voice_ja_25863281.mp3,このロゴ、どこかで見たような気がするんだよなあ,2
31,common_voice_ja_25863285.mp3,目を離しただけなのにすぐこぼれた,2
32,common_voice_ja_25863286.mp3,合ってるか分からないんだよ。,2
33,common_voice_ja_25863306.mp3,信号が青になるのを待ってから渡るネコ,2
34,common_voice_ja_25863307.mp3,これから暖かくなってくる季節にちょうどいい服装,2
35,common_voice_ja_25863309.mp3,よろしく、大きな声で言った。,2
36,common_voice_ja_25863370.mp3,申し訳ありませんでした。,2
37,common_voice_ja_25863372.mp3,この試合に残された時間はわずかしかない,2
38,common_voice_ja_25863374.mp3,もう売る気ないでしょこれ,2
39,common_voice_ja_25863433.mp3,全ての評価がいつも五だ。,2
40,common_voice_ja_25863434.mp3,今夜はパソコンはしなかった。,2
41,common_voice_ja_25863435.mp3,警察官が何者かによって襲われました。,2
42,common_voice_ja_25863436.mp3,私はなんにだってなれる、そう、ジョーカーみたいなの。,2
43,common_voice_ja_25863437.mp3,トマトを豪快にかぶりつく,2
44,common_voice_ja_25863748.mp3,虫たちは一目散に逃げてった。,2
45,common_voice_ja_25863751.mp3,誠実であろうとはしてるよ。,2
46,common_voice_ja_25863770.mp3,暖かくなってきたと思ったが、夜はひんやりとしている,2
47,common_voice_ja_25863771.mp3,オープン価格と言われてもピンとこない,2
48,common_voice_ja_25863772.mp3,いまから出歩いてもいい？,2
49,common_voice_ja_25863787.mp3,長く使ってきたイヤホンがとうとう壊れた,2
50,common_voice_ja_25863790.mp3,知り合いから電話、いまから来るって。,2
51,common_voice_ja_25863913.mp3,マークがついてるのにものともしない,2
52,common_voice_ja_25863914.mp3,お前らしい台詞だな。,2
53,common_voice_ja_25863926.mp3,あなたが口にしたくない言葉は、どうぞ、スキップして下さい。,2
54,common_voice_ja_25863928.mp3,君には、とても感謝してる。,2
55,common_voice_ja_25863929.mp3,欠席させて下さい。,2
56,common_voice_ja_25863930.mp3,ははっ、予約すらさせてくれないんだぜ,2
57,common_voice_ja_25863951.mp3,帰りの学生で電車内は混んでいる,2
