,path,sentence,language
0,common_voice_id_25377216.mp3,Sudah makan? sudah sholat...?,1
1,common_voice_id_25378794.mp3,udah keluar hasil testnya?,1
2,common_voice_id_25378817.mp3,Dimanakah sate paling enak di Jakarta Selatan?,1
3,common_voice_id_25436710.mp3,coba terus sampai berhasil,1
4,common_voice_id_25449451.mp3,Kapan saya harus melapor pajak?,1
5,common_voice_id_26208370.mp3,"Biro terdiri dari Ketua Komite, dua Wakil Ketua dan Pelapor.",1
6,common_voice_id_26208371.mp3,Seorang anak laki-laki berkulit hitam mengenakan celana jins biru dan baju berwarna terang sedang menatap tangannya.,1
7,common_voice_id_26208372.mp3,Dia mengakhiri musim bermain untuk Wellington di liga Birmingham.,1
8,common_voice_id_26208373.mp3,"Setiap dewan memiliki ketua, yang dipilih oleh dewan.",1
9,common_voice_id_26208374.mp3,Ia tidak pernah mencapai kesuksesan yang didapatkannya dalam film bisu.,1
10,common_voice_id_26208376.mp3,Orang bilang aku adalah pendengar yang baik.,1
11,common_voice_id_26208377.mp3,Kami mungkin melakukan hal seperti itu di album berikutnya.,1
12,common_voice_id_26208378.mp3,Beberapa model program yang bersamaan termasuk proses ulang dan kebersamaan yang menentukan.,1
13,common_voice_id_26208379.mp3,Itu diberi status bahasa nasional menurut konstitusi.,1
14,common_voice_id_26208380.mp3,Kriteria konvergensi digunakan untuk menentukan kapan perulangan berhenti.,1
15,common_voice_id_26208399.mp3,Afeni Shakur membentuk label rekaman yang diberi nama Amaru Records untuk merilis lagu rekaman Tupac yang belum dirilis.,1
16,common_voice_id_26208400.mp3,"Semakin tinggi peringkat mereka untuk putaran tersebut, semakin banyak uang yang akan mereka menangkan.",1
17,common_voice_id_26208403.mp3,Burung berfungsi sebagai tuan rumah alami.,1
18,common_voice_id_26208404.mp3,Warna kulit telah dan terus mempengaruhi daya tarik dan status serta kemampuan sosial ekonomi.,1
19,common_voice_id_26208449.mp3,"Wayne College menawarkan kelas siang dan malam, plus bagian khusus untuk Weekend College.",1
20,common_voice_id_26208450.mp3,Sungainya kemudian berbelok ke barat daya dan memasuki kota madya Ashfield-Colborne-Wawanosh.,1
21,common_voice_id_26208451.mp3,Itu sering dipasangkan dengan dan diikuti oleh jig atau gigue.,1
22,common_voice_id_26208452.mp3,"Robinson memetakan dan mencatat desa dengan nama ""Furnaceville"" untuk Tuan Otis.",1
23,common_voice_id_26208453.mp3,Seorang pria di atas papan luncur melakukan trik di tempat landai.,1
24,common_voice_id_26208470.mp3,"Tiga hari kemudian, dia dibebaskan oleh the Clippers.",1
25,common_voice_id_26208471.mp3,"Kerja bagus, Gussie.",1
26,common_voice_id_26208472.mp3,Kapitalis Michigan menginginkan Port Lawrence di wilayah “mereka”.,1
27,common_voice_id_26208473.mp3,Ini bagian utara Denton.,1
28,common_voice_id_26208526.mp3,Kamu tak perlu lagi bersusah hati.,1
29,common_voice_id_26208527.mp3,Seorang gadis berdiri di lapangan terbuka dengan memegang bola besar.,1
30,common_voice_id_26208528.mp3,Nama baru stasiun tersebut adalah Mix Megapol Radio City.,1
31,common_voice_id_26208529.mp3,"Beberapa dari mereka adalah ""Dirty Dancing"", ""Basic Instinct"", dan ""Total Recall"".",1
32,common_voice_id_26208530.mp3,Ia benar-benar marah pada pria itu.,1
33,common_voice_id_26208580.mp3,"Seorang pria yang berpendidikan, dia adalah dekan sekolah misionaris.",1
34,common_voice_id_26208581.mp3,Sangat sulit untuk dijelaskan.,1
35,common_voice_id_26208582.mp3,"Dengan cara ini, keluarga dapat menjalankan kebiasaan mereka tanpa memasuki kamar jenazah.",1
